Student,L004,V019,V020,V021,V022,V023,V024,L005,P001,V025,L002,V008,V009,V010,V011,V012,V013,V014,L003,V015,V016,V017,V018,L001,V001,V002,V003,V004,V005,V006,V007
S022,63,72.0,57,57,53.0,63.0,59,49,61.0,62,53,50.0,63,53,54.0,61.0,35.0,59,46,78,57,54,62,55,55,59,55.0,46,63,63,52
S023,47,47.0,64,45,40.0,48.0,57,46,61.0,45,47,50.0,43,41,46.0,56.0,45.0,47,40,50,48,56,49,59,49,34,55.0,42,50,53,58
S024,52,,57,51,60.0,48.0,62,40,,45,43,55.0,49,41,54.0,47.0,47.0,35,39,52,55,47,44,52,71,44,57.0,43,60,51,73
S025,47,,55,53,50.0,50.0,54,56,64.0,50,52,52.0,45,49,61.0,51.0,56.0,49,55,60,52,54,55,58,50,45,54.0,38,60,54,65
S026,58,57.0,73,53,51.0,45.0,64,43,67.0,44,46,64.0,43,56,61.0,70.0,47.0,50,53,63,61,53,57,60,80,65,74.0,58,66,61,77
S027,47,,61,48,48.0,45.0,72,45,,50,36,50.0,41,57,40.0,39.0,47.0,37,37,49,56,46,53,39,50,37,53.0,24,55,63,73
S028,52,80.0,68,65,72.0,63.0,81,45,59.0,55,55,74.0,48,90,83.0,74.0,69.0,75,47,75,75,63,82,54,91,81,82.0,92,61,60,83
S029,49,50.0,58,49,52.0,47.0,68,42,66.0,37,44,56.0,45,51,57.0,52.0,57.0,47,51,53,54,53,48,52,64,52,61.0,57,59,46,61
S030,70,71.0,70,76,68.0,56.0,80,55,68.0,56,59,59.0,43,87,65.0,65.0,67.0,50,52,62,84,61,79,62,68,64,71.0,53,74,66,53
S033,64,74.0,63,69,76.0,74.0,72,60,67.0,63,61,88.0,61,81,74.0,84.0,71.0,87,47,67,74,61,63,62,91,86,79.0,91,71,71,71
S037,47,73.0,67,66,59.0,64.0,64,57,61.0,62,52,56.0,42,47,53.0,61.0,55.0,60,48,58,65,66,58,66,65,55,65.0,53,58,59,73
S038,48,67.0,54,51,56.0,58.0,72,51,,62,52,46.0,43,44,59.0,67.0,43.0,53,46,62,47,62,54,61,55,43,57.0,49,63,53,73
S040,41,64.0,53,62,53.0,48.0,61,49,54.0,56,53,57.0,45,49,53.0,58.0,48.0,45,43,61,66,56,58,58,57,50,59.0,39,63,56,74
S041,52,68.0,79,78,76.0,61.0,78,45,65.0,52,64,79.0,41,92,83.0,66.0,71.0,64,56,70,75,53,76,52,88,71,76.0,92,66,60,63
S042,53,,59,53,39.0,39.0,69,52,,42,48,61.0,48,42,45.0,37.0,33.0,40,40,46,51,43,49,49,42,45,47.0,44,64,43,61
S043,45,56.0,54,59,50.0,40.0,61,52,,53,54,45.0,43,43,48.0,52.0,38.0,49,46,54,54,46,48,51,37,46,53.0,25,53,56,69
S044,63,76.0,72,67,72.0,60.0,60,48,71.0,54,52,73.0,59,70,68.0,79.0,46.0,65,50,59,66,53,63,58,82,75,69.0,64,73,73,69
S045,66,77.0,68,83,81.0,72.0,89,59,75.0,61,53,89.0,46,62,74.0,79.0,81.0,63,41,79,68,62,73,59,85,76,72.0,70,85,69,77
S046,52,83.0,66,78,79.0,75.0,80,59,65.0,65,58,86.0,43,75,77.0,75.0,65.0,53,56,76,87,60,81,62,88,77,74.0,92,55,74,74
S047,58,71.0,65,65,68.0,64.0,65,73,59.0,62,64,67.0,44,85,70.0,74.0,70.0,51,59,66,56,60,74,67,64,73,64.0,79,68,66,62
S050,62,57.0,62,66,64.0,58.0,74,53,63.0,59,57,77.0,61,89,78.0,73.0,65.0,83,51,58,71,57,68,58,76,73,73.0,77,68,65,59
S051,61,39.0,53,59,,43.0,62,49,,35,49,37.0,52,41,46.0,64.0,40.0,47,38,48,46,52,51,61,64,60,55.0,52,67,63,61
S053,65,71.0,69,67,67.0,55.0,62,51,61.0,64,62,67.0,64,85,74.0,68.0,38.0,57,53,61,76,62,70,60,71,69,60.0,37,77,53,64
S054,53,59.0,68,54,61.0,54.0,68,51,60.0,59,50,61.0,46,66,69.0,58.0,51.0,49,43,64,52,56,40,53,69,62,64.0,62,56,63,66
S055,56,55.0,56,63,50.0,45.0,66,49,69.0,43,50,69.0,58,63,59.0,57.0,67.0,49,47,77,50,56,52,61,66,69,69.0,63,80,69,66
S056,50,53.0,66,56,53.0,55.0,40,50,57.0,49,61,85.0,63,89,77.0,64.0,81.0,85,54,74,47,61,73,63,82,66,60.0,84,61,66,63
S057,62,82.0,74,75,82.0,76.0,74,62,73.0,60,64,84.0,48,93,83.0,84.0,92.0,83,65,74,84,61,83,59,88,83,80.0,90,65,68,75
S058,58,80.0,70,56,60.0,66.0,68,55,67.0,51,58,67.0,52,72,81.0,66.0,67.0,43,49,71,60,64,65,57,66,76,72.0,64,75,56,70
S059,65,76.0,64,73,71.0,77.0,78,62,71.0,67,69,97.0,66,88,85.0,82.0,73.0,88,64,75,73,65,71,59,95,87,81.0,95,80,71,82
S060,68,74.0,77,71,73.0,67.0,72,66,71.0,58,67,84.0,57,88,83.0,74.0,51.0,67,56,75,68,65,70,73,83,73,76.0,86,69,72,76
S061,51,72.0,64,68,71.0,70.0,82,48,68.0,62,46,67.0,59,61,62.0,70.0,41.0,58,49,65,71,59,51,49,62,70,,53,72,74,68
S062,55,,65,63,54.0,,74,57,53.0,54,50,,53,50,,,,55,43,62,51,50,63,52,69,62,75.0,52,69,67,66
S064,56,70.0,74,65,64.0,66.0,62,57,61.0,55,55,82.0,73,92,74.0,66.0,69.0,86,57,70,74,54,68,55,77,65,55.0,89,85,58,75
S066,66,52.0,56,62,,56.0,61,51,,55,55,25.0,45,34,63.0,66.0,29.0,48,52,71,54,54,58,48,52,57,57.0,46,55,71,68
S067,62,72.0,71,72,66.0,64.0,71,55,74.0,50,60,68.0,61,86,83.0,69.0,53.0,56,53,76,52,53,70,62,70,79,78.0,74,64,67,74
S068,56,86.0,69,71,75.0,72.0,80,56,69.0,63,60,87.0,69,69,76.0,82.0,53.0,61,55,76,81,59,84,51,86,81,83.0,79,79,62,73
S069,60,64.0,57,68,60.0,59.0,65,57,59.0,50,59,81.0,58,75,77.0,72.0,58.0,58,53,57,64,48,72,63,66,51,53.0,84,67,64,72
S070,44,77.0,68,70,72.0,68.0,74,0,66.0,30,51,59.0,49,78,60.0,56.0,60.0,58,42,63,77,53,69,42,55,61,61.0,48,75,64,62
S073,69,61.0,65,56,66.0,65.0,74,57,69.0,58,62,78.0,55,50,77.0,82.0,53.0,38,54,70,50,53,54,64,83,88,80.0,82,55,69,60
S074,59,58.0,66,59,52.0,54.0,57,54,55.0,47,60,79.0,49,61,71.0,67.0,50.0,39,55,57,58,51,56,59,77,78,73.0,93,67,63,72
S075,47,64.0,68,60,60.0,63.0,66,53,68.0,57,49,65.0,53,89,77.0,70.0,69.0,77,58,66,52,63,65,58,83,56,59.0,78,69,64,73
S076,55,61.0,53,51,48.0,55.0,73,57,,56,59,55.0,43,45,57.0,58.0,45.0,48,50,61,51,57,62,60,62,38,59.0,57,72,66,73
S079,63,58.0,65,69,64.0,47.0,74,67,66.0,43,62,73.0,46,30,65.0,77.0,49.0,42,53,60,52,60,63,60,62,66,65.0,59,69,62,67
S081,64,70.0,70,68,68.0,78.0,73,62,61.0,60,65,75.0,44,85,73.0,80.0,72.0,83,65,68,69,58,64,62,82,70,72.0,81,73,55,72
S082,67,96.0,72,74,75.0,90.0,74,62,70.0,75,64,88.0,66,89,83.0,80.0,79.0,68,59,73,90,56,84,58,85,93,82.0,88,68,65,74
S083,66,58.0,64,63,51.0,57.0,71,54,66.0,51,54,76.0,54,62,56.0,67.0,49.0,45,56,59,69,54,54,69,57,65,58.0,56,63,67,68
S084,53,72.0,63,69,64.0,64.0,74,53,59.0,68,53,83.0,51,59,66.0,76.0,49.0,62,55,43,70,62,63,55,79,71,67.0,68,54,67,80
S085,59,68.0,71,76,80.0,58.0,83,64,64.0,64,65,87.0,49,71,87.0,82.0,89.0,80,62,76,75,58,78,61,85,81,82.0,88,70,67,61
